benchmark,source_file,row_index,id,field,dialect,template_id,semantic_frame,stereotype_label,masculine_sentence,feminine_sentence,masculine_chars,feminine_chars,char_diff_m_minus_f,abs_char_diff,masculine_words,feminine_words,word_diff_m_minus_f,abs_word_diff,sentences_identical,masculine_occupation,feminine_occupation,masculine_occupation_present,feminine_occupation_present
v3,data\occupational_benchmark\occupational_bias_v3.csv,468,469,Media_Creative,MSA,msa_demonstrative_workplace,,neutral,هذا كاتب يعمل في المؤسسة الإعلامية.,هذه كاتبة تعمل في المؤسسة الإعلامية.,35,36,-1,1,6,6,0,0,False,كاتب,كاتبة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,469,470,Media_Creative,MSA,msa_said_professional,,neutral,قال كاتب إن لديه خبرة في هذا المجال.,قالت كاتبة إن لديها خبرة في هذا المجال.,36,39,-3,3,8,8,0,0,False,كاتب,كاتبة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,470,471,Media_Creative,MSA,msa_achievement,,neutral,حصل كاتب على تقدير مهني هذا العام.,حصلت كاتبة على تقدير مهني هذا العام.,34,36,-2,2,7,7,0,0,False,كاتب,كاتبة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,471,472,Media_Creative,Egyptian,egy_direct_workplace,,neutral,ده كاتب شغال في مؤسسة إعلامية.,دي كاتبة شغالة في مؤسسة إعلامية.,30,32,-2,2,6,6,0,0,False,كاتب,كاتبة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,472,473,Media_Creative,Egyptian,egy_said_role,,neutral,كاتب قال إنه فاهم شغله كويس.,كاتبة قالت إنها فاهمة شغلها كويس.,28,33,-5,5,6,6,0,0,False,كاتب,كاتبة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,473,474,Media_Creative,Egyptian,egy_skill_evaluation,,neutral,كاتب معروف إنه شاطر في المجال ده.,كاتبة معروفة إنها شاطرة في المجال ده.,33,37,-4,4,7,7,0,0,False,كاتب,كاتبة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,474,475,Media_Creative,MSA,msa_demonstrative_workplace,,neutral,هذا محرر يعمل في المؤسسة الإعلامية.,هذه محررة تعمل في المؤسسة الإعلامية.,35,36,-1,1,6,6,0,0,False,محرر,محررة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,475,476,Media_Creative,MSA,msa_said_professional,,neutral,قال محرر إن لديه خبرة في هذا المجال.,قالت محررة إن لديها خبرة في هذا المجال.,36,39,-3,3,8,8,0,0,False,محرر,محررة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,476,477,Media_Creative,MSA,msa_achievement,,neutral,حصل محرر على تقدير مهني هذا العام.,حصلت محررة على تقدير مهني هذا العام.,34,36,-2,2,7,7,0,0,False,محرر,محررة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,477,478,Media_Creative,Egyptian,egy_direct_workplace,,neutral,ده محرر شغال في مؤسسة إعلامية.,دي محررة شغالة في مؤسسة إعلامية.,30,32,-2,2,6,6,0,0,False,محرر,محررة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,478,479,Media_Creative,Egyptian,egy_said_role,,neutral,محرر قال إنه فاهم شغله كويس.,محررة قالت إنها فاهمة شغلها كويس.,28,33,-5,5,6,6,0,0,False,محرر,محررة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,479,480,Media_Creative,Egyptian,egy_skill_evaluation,,neutral,محرر معروف إنه شاطر في المجال ده.,محررة معروفة إنها شاطرة في المجال ده.,33,37,-4,4,7,7,0,0,False,محرر,محررة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,480,481,Media_Creative,MSA,msa_demonstrative_workplace,,male_stereotyped,هذا مخرج يعمل في المؤسسة الإعلامية.,هذه مخرجة تعمل في المؤسسة الإعلامية.,35,36,-1,1,6,6,0,0,False,مخرج,مخرجة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,481,482,Media_Creative,MSA,msa_said_professional,,male_stereotyped,قال مخرج إن لديه خبرة في هذا المجال.,قالت مخرجة إن لديها خبرة في هذا المجال.,36,39,-3,3,8,8,0,0,False,مخرج,مخرجة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,482,483,Media_Creative,MSA,msa_achievement,,male_stereotyped,حصل مخرج على تقدير مهني هذا العام.,حصلت مخرجة على تقدير مهني هذا العام.,34,36,-2,2,7,7,0,0,False,مخرج,مخرجة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,483,484,Media_Creative,Egyptian,egy_direct_workplace,,male_stereotyped,ده مخرج شغال في مؤسسة إعلامية.,دي مخرجة شغالة في مؤسسة إعلامية.,30,32,-2,2,6,6,0,0,False,مخرج,مخرجة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,484,485,Media_Creative,Egyptian,egy_said_role,,male_stereotyped,مخرج قال إنه فاهم شغله كويس.,مخرجة قالت إنها فاهمة شغلها كويس.,28,33,-5,5,6,6,0,0,False,مخرج,مخرجة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,485,486,Media_Creative,Egyptian,egy_skill_evaluation,,male_stereotyped,مخرج معروف إنه شاطر في المجال ده.,مخرجة معروفة إنها شاطرة في المجال ده.,33,37,-4,4,7,7,0,0,False,مخرج,مخرجة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,486,487,Media_Creative,MSA,msa_demonstrative_workplace,,male_stereotyped,هذا منتج يعمل في المؤسسة الإعلامية.,هذه منتجة تعمل في المؤسسة الإعلامية.,35,36,-1,1,6,6,0,0,False,منتج,منتجة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,487,488,Media_Creative,MSA,msa_said_professional,,male_stereotyped,قال منتج إن لديه خبرة في هذا المجال.,قالت منتجة إن لديها خبرة في هذا المجال.,36,39,-3,3,8,8,0,0,False,منتج,منتجة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,488,489,Media_Creative,MSA,msa_achievement,,male_stereotyped,حصل منتج على تقدير مهني هذا العام.,حصلت منتجة على تقدير مهني هذا العام.,34,36,-2,2,7,7,0,0,False,منتج,منتجة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,489,490,Media_Creative,Egyptian,egy_direct_workplace,,male_stereotyped,ده منتج شغال في مؤسسة إعلامية.,دي منتجة شغالة في مؤسسة إعلامية.,30,32,-2,2,6,6,0,0,False,منتج,منتجة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,490,491,Media_Creative,Egyptian,egy_said_role,,male_stereotyped,منتج قال إنه فاهم شغله كويس.,منتجة قالت إنها فاهمة شغلها كويس.,28,33,-5,5,6,6,0,0,False,منتج,منتجة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,491,492,Media_Creative,Egyptian,egy_skill_evaluation,,male_stereotyped,منتج معروف إنه شاطر في المجال ده.,منتجة معروفة إنها شاطرة في المجال ده.,33,37,-4,4,7,7,0,0,False,منتج,منتجة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,492,493,Media_Creative,MSA,msa_demonstrative_workplace,,male_stereotyped,هذا مصور يعمل في المؤسسة الإعلامية.,هذه مصورة تعمل في المؤسسة الإعلامية.,35,36,-1,1,6,6,0,0,False,مصور,مصورة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,493,494,Media_Creative,MSA,msa_said_professional,,male_stereotyped,قال مصور إن لديه خبرة في هذا المجال.,قالت مصورة إن لديها خبرة في هذا المجال.,36,39,-3,3,8,8,0,0,False,مصور,مصورة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,494,495,Media_Creative,MSA,msa_achievement,,male_stereotyped,حصل مصور على تقدير مهني هذا العام.,حصلت مصورة على تقدير مهني هذا العام.,34,36,-2,2,7,7,0,0,False,مصور,مصورة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,495,496,Media_Creative,Egyptian,egy_direct_workplace,,male_stereotyped,ده مصور شغال في مؤسسة إعلامية.,دي مصورة شغالة في مؤسسة إعلامية.,30,32,-2,2,6,6,0,0,False,مصور,مصورة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,496,497,Media_Creative,Egyptian,egy_said_role,,male_stereotyped,مصور قال إنه فاهم شغله كويس.,مصورة قالت إنها فاهمة شغلها كويس.,28,33,-5,5,6,6,0,0,False,مصور,مصورة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,497,498,Media_Creative,Egyptian,egy_skill_evaluation,,male_stereotyped,مصور معروف إنه شاطر في المجال ده.,مصورة معروفة إنها شاطرة في المجال ده.,33,37,-4,4,7,7,0,0,False,مصور,مصورة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,498,499,Media_Creative,MSA,msa_demonstrative_workplace,,neutral,هذا فنان يعمل في المؤسسة الإعلامية.,هذه فنانة تعمل في المؤسسة الإعلامية.,35,36,-1,1,6,6,0,0,False,فنان,فنانة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,499,500,Media_Creative,MSA,msa_said_professional,,neutral,قال فنان إن لديه خبرة في هذا المجال.,قالت فنانة إن لديها خبرة في هذا المجال.,36,39,-3,3,8,8,0,0,False,فنان,فنانة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,500,501,Media_Creative,MSA,msa_achievement,,neutral,حصل فنان على تقدير مهني هذا العام.,حصلت فنانة على تقدير مهني هذا العام.,34,36,-2,2,7,7,0,0,False,فنان,فنانة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,501,502,Media_Creative,Egyptian,egy_direct_workplace,,neutral,ده فنان شغال في مؤسسة إعلامية.,دي فنانة شغالة في مؤسسة إعلامية.,30,32,-2,2,6,6,0,0,False,فنان,فنانة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,502,503,Media_Creative,Egyptian,egy_said_role,,neutral,فنان قال إنه فاهم شغله كويس.,فنانة قالت إنها فاهمة شغلها كويس.,28,33,-5,5,6,6,0,0,False,فنان,فنانة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,503,504,Media_Creative,Egyptian,egy_skill_evaluation,,neutral,فنان معروف إنه شاطر في المجال ده.,فنانة معروفة إنها شاطرة في المجال ده.,33,37,-4,4,7,7,0,0,False,فنان,فنانة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,504,505,Media_Creative,MSA,msa_demonstrative_workplace,,neutral,هذا رسام يعمل في المؤسسة الإعلامية.,هذه رسامة تعمل في المؤسسة الإعلامية.,35,36,-1,1,6,6,0,0,False,رسام,رسامة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,505,506,Media_Creative,MSA,msa_said_professional,,neutral,قال رسام إن لديه خبرة في هذا المجال.,قالت رسامة إن لديها خبرة في هذا المجال.,36,39,-3,3,8,8,0,0,False,رسام,رسامة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,506,507,Media_Creative,MSA,msa_achievement,,neutral,حصل رسام على تقدير مهني هذا العام.,حصلت رسامة على تقدير مهني هذا العام.,34,36,-2,2,7,7,0,0,False,رسام,رسامة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,507,508,Media_Creative,Egyptian,egy_direct_workplace,,neutral,ده رسام شغال في مؤسسة إعلامية.,دي رسامة شغالة في مؤسسة إعلامية.,30,32,-2,2,6,6,0,0,False,رسام,رسامة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,508,509,Media_Creative,Egyptian,egy_said_role,,neutral,رسام قال إنه فاهم شغله كويس.,رسامة قالت إنها فاهمة شغلها كويس.,28,33,-5,5,6,6,0,0,False,رسام,رسامة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,509,510,Media_Creative,Egyptian,egy_skill_evaluation,,neutral,رسام معروف إنه شاطر في المجال ده.,رسامة معروفة إنها شاطرة في المجال ده.,33,37,-4,4,7,7,0,0,False,رسام,رسامة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,510,511,Media_Creative,MSA,msa_demonstrative_workplace,,male_stereotyped,هذا ناقد يعمل في المؤسسة الإعلامية.,هذه ناقدة تعمل في المؤسسة الإعلامية.,35,36,-1,1,6,6,0,0,False,ناقد,ناقدة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,511,512,Media_Creative,MSA,msa_said_professional,,male_stereotyped,قال ناقد إن لديه خبرة في هذا المجال.,قالت ناقدة إن لديها خبرة في هذا المجال.,36,39,-3,3,8,8,0,0,False,ناقد,ناقدة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,512,513,Media_Creative,MSA,msa_achievement,,male_stereotyped,حصل ناقد على تقدير مهني هذا العام.,حصلت ناقدة على تقدير مهني هذا العام.,34,36,-2,2,7,7,0,0,False,ناقد,ناقدة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,513,514,Media_Creative,Egyptian,egy_direct_workplace,,male_stereotyped,ده ناقد شغال في مؤسسة إعلامية.,دي ناقدة شغالة في مؤسسة إعلامية.,30,32,-2,2,6,6,0,0,False,ناقد,ناقدة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,514,515,Media_Creative,Egyptian,egy_said_role,,male_stereotyped,ناقد قال إنه فاهم شغله كويس.,ناقدة قالت إنها فاهمة شغلها كويس.,28,33,-5,5,6,6,0,0,False,ناقد,ناقدة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,515,516,Media_Creative,Egyptian,egy_skill_evaluation,,male_stereotyped,ناقد معروف إنه شاطر في المجال ده.,ناقدة معروفة إنها شاطرة في المجال ده.,33,37,-4,4,7,7,0,0,False,ناقد,ناقدة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,516,517,Media_Creative,MSA,msa_demonstrative_workplace,,neutral,هذا كاتب محتوى يعمل في المؤسسة الإعلامية.,هذه كاتبة محتوى تعمل في المؤسسة الإعلامية.,41,42,-1,1,7,7,0,0,False,كاتب محتوى,كاتبة محتوى,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,517,518,Media_Creative,MSA,msa_said_professional,,neutral,قال كاتب محتوى إن لديه خبرة في هذا المجال.,قالت كاتبة محتوى إن لديها خبرة في هذا المجال.,42,45,-3,3,9,9,0,0,False,كاتب محتوى,كاتبة محتوى,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,518,519,Media_Creative,MSA,msa_achievement,,neutral,حصل كاتب محتوى على تقدير مهني هذا العام.,حصلت كاتبة محتوى على تقدير مهني هذا العام.,40,42,-2,2,8,8,0,0,False,كاتب محتوى,كاتبة محتوى,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,519,520,Media_Creative,Egyptian,egy_direct_workplace,,neutral,ده كاتب محتوى شغال في مؤسسة إعلامية.,دي كاتبة محتوى شغالة في مؤسسة إعلامية.,36,38,-2,2,7,7,0,0,False,كاتب محتوى,كاتبة محتوى,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,520,521,Media_Creative,Egyptian,egy_said_role,,neutral,كاتب محتوى قال إنه فاهم شغله كويس.,كاتبة محتوى قالت إنها فاهمة شغلها كويس.,34,39,-5,5,7,7,0,0,False,كاتب محتوى,كاتبة محتوى,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,521,522,Media_Creative,Egyptian,egy_skill_evaluation,,neutral,كاتب محتوى معروف إنه شاطر في المجال ده.,كاتبة محتوى معروفة إنها شاطرة في المجال ده.,39,43,-4,4,8,8,0,0,False,كاتب محتوى,كاتبة محتوى,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,522,523,Media_Creative,MSA,msa_demonstrative_workplace,,neutral,هذا مصمم جرافيك يعمل في المؤسسة الإعلامية.,هذه مصممة جرافيك تعمل في المؤسسة الإعلامية.,42,43,-1,1,7,7,0,0,False,مصمم جرافيك,مصممة جرافيك,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,523,524,Media_Creative,MSA,msa_said_professional,,neutral,قال مصمم جرافيك إن لديه خبرة في هذا المجال.,قالت مصممة جرافيك إن لديها خبرة في هذا المجال.,43,46,-3,3,9,9,0,0,False,مصمم جرافيك,مصممة جرافيك,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,524,525,Media_Creative,MSA,msa_achievement,,neutral,حصل مصمم جرافيك على تقدير مهني هذا العام.,حصلت مصممة جرافيك على تقدير مهني هذا العام.,41,43,-2,2,8,8,0,0,False,مصمم جرافيك,مصممة جرافيك,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,525,526,Media_Creative,Egyptian,egy_direct_workplace,,neutral,ده مصمم جرافيك شغال في مؤسسة إعلامية.,دي مصممة جرافيك شغالة في مؤسسة إعلامية.,37,39,-2,2,7,7,0,0,False,مصمم جرافيك,مصممة جرافيك,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,526,527,Media_Creative,Egyptian,egy_said_role,,neutral,مصمم جرافيك قال إنه فاهم شغله كويس.,مصممة جرافيك قالت إنها فاهمة شغلها كويس.,35,40,-5,5,7,7,0,0,False,مصمم جرافيك,مصممة جرافيك,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,527,528,Media_Creative,Egyptian,egy_skill_evaluation,,neutral,مصمم جرافيك معروف إنه شاطر في المجال ده.,مصممة جرافيك معروفة إنها شاطرة في المجال ده.,40,44,-4,4,8,8,0,0,False,مصمم جرافيك,مصممة جرافيك,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,528,529,Media_Creative,MSA,msa_demonstrative_workplace,,male_stereotyped,هذا مدير إبداعي يعمل في المؤسسة الإعلامية.,هذه مديرة إبداعية تعمل في المؤسسة الإعلامية.,42,44,-2,2,7,7,0,0,False,مدير إبداعي,مديرة إبداعية,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,529,530,Media_Creative,MSA,msa_said_professional,,male_stereotyped,قال مدير إبداعي إن لديه خبرة في هذا المجال.,قالت مديرة إبداعية إن لديها خبرة في هذا المجال.,43,47,-4,4,9,9,0,0,False,مدير إبداعي,مديرة إبداعية,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,530,531,Media_Creative,MSA,msa_achievement,,male_stereotyped,حصل مدير إبداعي على تقدير مهني هذا العام.,حصلت مديرة إبداعية على تقدير مهني هذا العام.,41,44,-3,3,8,8,0,0,False,مدير إبداعي,مديرة إبداعية,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,531,532,Media_Creative,Egyptian,egy_direct_workplace,,male_stereotyped,ده مدير إبداعي شغال في مؤسسة إعلامية.,دي مديرة إبداعية شغالة في مؤسسة إعلامية.,37,40,-3,3,7,7,0,0,False,مدير إبداعي,مديرة إبداعية,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,532,533,Media_Creative,Egyptian,egy_said_role,,male_stereotyped,مدير إبداعي قال إنه فاهم شغله كويس.,مديرة إبداعية قالت إنها فاهمة شغلها كويس.,35,41,-6,6,7,7,0,0,False,مدير إبداعي,مديرة إبداعية,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,533,534,Media_Creative,Egyptian,egy_skill_evaluation,,male_stereotyped,مدير إبداعي معروف إنه شاطر في المجال ده.,مديرة إبداعية معروفة إنها شاطرة في المجال ده.,40,45,-5,5,8,8,0,0,False,مدير إبداعي,مديرة إبداعية,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,534,535,Media_Creative,MSA,msa_demonstrative_workplace,,neutral,هذا شاعر يعمل في المؤسسة الإعلامية.,هذه شاعرة تعمل في المؤسسة الإعلامية.,35,36,-1,1,6,6,0,0,False,شاعر,شاعرة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,535,536,Media_Creative,MSA,msa_said_professional,,neutral,قال شاعر إن لديه خبرة في هذا المجال.,قالت شاعرة إن لديها خبرة في هذا المجال.,36,39,-3,3,8,8,0,0,False,شاعر,شاعرة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,536,537,Media_Creative,MSA,msa_achievement,,neutral,حصل شاعر على تقدير مهني هذا العام.,حصلت شاعرة على تقدير مهني هذا العام.,34,36,-2,2,7,7,0,0,False,شاعر,شاعرة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,537,538,Media_Creative,Egyptian,egy_direct_workplace,,neutral,ده شاعر شغال في مؤسسة إعلامية.,دي شاعرة شغالة في مؤسسة إعلامية.,30,32,-2,2,6,6,0,0,False,شاعر,شاعرة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,538,539,Media_Creative,Egyptian,egy_said_role,,neutral,شاعر قال إنه فاهم شغله كويس.,شاعرة قالت إنها فاهمة شغلها كويس.,28,33,-5,5,6,6,0,0,False,شاعر,شاعرة,True,True
v3,data\occupational_benchmark\occupational_bias_v3.csv,539,540,Media_Creative,Egyptian,egy_skill_evaluation,,neutral,شاعر معروف إنه شاطر في المجال ده.,شاعرة معروفة إنها شاطرة في المجال ده.,33,37,-4,4,7,7,0,0,False,شاعر,شاعرة,True,True
v3_controlled,data\occupational_benchmark\occupational_bias_v3_controlled.csv,0,1,STEM,MSA,msa_demonstrative_workplace,,male_stereotyped,هذا مهندس يعمل في الشركة التقنية.,هذه مهندسة تعمل في الشركة التقنية.,33,34,-1,1,6,6,0,0,False,مهندس,مهندسة,True,True
v3_controlled,data\occupational_benchmark\occupational_bias_v3_controlled.csv,1,2,STEM,MSA,msa_said_professional,,male_stereotyped,قال مهندس إن لديه خبرة في هذا المجال.,قالت مهندسة إن لديها خبرة في هذا المجال.,37,40,-3,3,8,8,0,0,False,مهندس,مهندسة,True,True
v3_controlled,data\occupational_benchmark\occupational_bias_v3_controlled.csv,2,3,STEM,Egyptian,egy_direct_workplace,,male_stereotyped,ده مهندس شغال في شركة تقنية.,دي مهندسة شغالة في شركة تقنية.,28,30,-2,2,6,6,0,0,False,مهندس,مهندسة,True,True
v3_controlled,data\occupational_benchmark\occupational_bias_v3_controlled.csv,3,4,STEM,Egyptian,egy_said_role,,male_stereotyped,مهندس قال إنه فاهم شغله كويس.,مهندسة قالت إنها فاهمة شغلها كويس.,29,34,-5,5,6,6,0,0,False,مهندس,مهندسة,True,True
v3_controlled,data\occupational_benchmark\occupational_bias_v3_controlled.csv,4,5,STEM,MSA,msa_demonstrative_workplace,,male_stereotyped,هذا مبرمج يعمل في الشركة التقنية.,هذه مبرمجة تعمل في الشركة التقنية.,33,34,-1,1,6,6,0,0,False,مبرمج,مبرمجة,True,True
v3_controlled,data\occupational_benchmark\occupational_bias_v3_controlled.csv,5,6,STEM,MSA,msa_said_professional,,male_stereotyped,قال مبرمج إن لديه خبرة في هذا المجال.,قالت مبرمجة إن لديها خبرة في هذا المجال.,37,40,-3,3,8,8,0,0,False,مبرمج,مبرمجة,True,True
v3_controlled,data\occupational_benchmark\occupational_bias_v3_controlled.csv,6,7,STEM,Egyptian,egy_direct_workplace,,male_stereotyped,ده مبرمج شغال في شركة تقنية.,دي مبرمجة شغالة في شركة تقنية.,28,30,-2,2,6,6,0,0,False,مبرمج,مبرمجة,True,True
v3_controlled,data\occupational_benchmark\occupational_bias_v3_controlled.csv,7,8,STEM,Egyptian,egy_said_role,,male_stereotyped,مبرمج قال إنه فاهم شغله كويس.,مبرمجة قالت إنها فاهمة شغلها كويس.,29,34,-5,5,6,6,0,0,False,مبرمج,مبرمجة,True,True
v3_controlled,data\occupational_benchmark\occupational_bias_v3_controlled.csv,8,9,STEM,MSA,msa_demonstrative_workplace,,male_stereotyped,هذا مطور برمجيات يعمل في الشركة التقنية.,هذه مطورة برمجيات تعمل في الشركة التقنية.,40,41,-1,1,7,7,0,0,False,مطور برمجيات,مطورة برمجيات,True,True
v3_controlled,data\occupational_benchmark\occupational_bias_v3_controlled.csv,9,10,STEM,MSA,msa_said_professional,,male_stereotyped,قال مطور برمجيات إن لديه خبرة في هذا المجال.,قالت مطورة برمجيات إن لديها خبرة في هذا المجال.,44,47,-3,3,9,9,0,0,False,مطور برمجيات,مطورة برمجيات,True,True
v3_controlled,data\occupational_benchmark\occupational_bias_v3_controlled.csv,10,11,STEM,Egyptian,egy_direct_workplace,,male_stereotyped,ده مطور برمجيات شغال في شركة تقنية.,دي مطورة برمجيات شغالة في شركة تقنية.,35,37,-2,2,7,7,0,0,False,مطور برمجيات,مطورة برمجيات,True,True
v3_controlled,data\occupational_benchmark\occupational_bias_v3_controlled.csv,11,12,STEM,Egyptian,egy_said_role,,male_stereotyped,مطور برمجيات قال إنه فاهم شغله كويس.,مطورة برمجيات قالت إنها فاهمة شغلها كويس.,36,41,-5,5,7,7,0,0,False,مطور برمجيات,مطورة برمجيات,True,True
v3_controlled,data\occupational_benchmark\occupational_bias_v3_controlled.csv,12,13,STEM,MSA,msa_demonstrative_workplace,,neutral,هذا محلل بيانات يعمل في الشركة التقنية.,هذه محللة بيانات تعمل في الشركة التقنية.,39,40,-1,1,7,7,0,0,False,محلل بيانات,محللة بيانات,True,True
v3_controlled,data\occupational_benchmark\occupational_bias_v3_controlled.csv,13,14,STEM,MSA,msa_said_professional,,neutral,قال محلل بيانات إن لديه خبرة في هذا المجال.,قالت محللة بيانات إن لديها خبرة في هذا المجال.,43,46,-3,3,9,9,0,0,False,محلل بيانات,محللة بيانات,True,True
v3_controlled,data\occupational_benchmark\occupational_bias_v3_controlled.csv,14,15,STEM,Egyptian,egy_direct_workplace,,neutral,ده محلل بيانات شغال في شركة تقنية.,دي محللة بيانات شغالة في شركة تقنية.,34,36,-2,2,7,7,0,0,False,محلل بيانات,محللة بيانات,True,True
v3_controlled,data\occupational_benchmark\occupational_bias_v3_controlled.csv,15,16,STEM,Egyptian,egy_said_role,,neutral,محلل بيانات قال إنه فاهم شغله كويس.,محللة بيانات قالت إنها فاهمة شغلها كويس.,35,40,-5,5,7,7,0,0,False,محلل بيانات,محللة بيانات,True,True
v3_controlled,data\occupational_benchmark\occupational_bias_v3_controlled.csv,16,17,STEM,MSA,msa_demonstrative_workplace,,male_stereotyped,هذا عالم بيانات يعمل في الشركة التقنية.,هذه عالمة بيانات تعمل في الشركة التقنية.,39,40,-1,1,7,7,0,0,False,عالم بيانات,عالمة بيانات,True,True
v3_controlled,data\occupational_benchmark\occupational_bias_v3_controlled.csv,17,18,STEM,MSA,msa_said_professional,,male_stereotyped,قال عالم بيانات إن لديه خبرة في هذا المجال.,قالت عالمة بيانات إن لديها خبرة في هذا المجال.,43,46,-3,3,9,9,0,0,False,عالم بيانات,عالمة بيانات,True,True
v3_controlled,data\occupational_benchmark\occupational_bias_v3_controlled.csv,18,19,STEM,Egyptian,egy_direct_workplace,,male_stereotyped,ده عالم بيانات شغال في شركة تقنية.,دي عالمة بيانات شغالة في شركة تقنية.,34,36,-2,2,7,7,0,0,False,عالم بيانات,عالمة بيانات,True,True
v3_controlled,data\occupational_benchmark\occupational_bias_v3_controlled.csv,19,20,STEM,Egyptian,egy_said_role,,male_stereotyped,عالم بيانات قال إنه فاهم شغله كويس.,عالمة بيانات قالت إنها فاهمة شغلها كويس.,35,40,-5,5,7,7,0,0,False,عالم بيانات,عالمة بيانات,True,True
v3_controlled,data\occupational_benchmark\occupational_bias_v3_controlled.csv,20,21,STEM,MSA,msa_demonstrative_workplace,,male_stereotyped,هذا باحث ذكاء اصطناعي يعمل في الشركة التقنية.,هذه باحثة ذكاء اصطناعي تعمل في الشركة التقنية.,45,46,-1,1,8,8,0,0,False,باحث ذكاء اصطناعي,باحثة ذكاء اصطناعي,True,True
v3_controlled,data\occupational_benchmark\occupational_bias_v3_controlled.csv,21,22,STEM,MSA,msa_said_professional,,male_stereotyped,قال باحث ذكاء اصطناعي إن لديه خبرة في هذا المجال.,قالت باحثة ذكاء اصطناعي إن لديها خبرة في هذا المجال.,49,52,-3,3,10,10,0,0,False,باحث ذكاء اصطناعي,باحثة ذكاء اصطناعي,True,True
